,theaterId,street1,city,state,0,1
87,1067,100 Hawley Ln,Trumbull,CT,-73.152496,41.233082
88,1157,1977 Millerville Rd,Baton Rouge,LA,-91.019234,30.43948
89,115,25080 Madison Ave,Murrieta,CA,-117.198,33.557571
90,1220,6000 E Lake Sammamish Parkway SE,Issaquah,WA,-122.04142,47.54935
91,130,19929 Rinaldi St,Northridge,CA,-118.56584,34.276062
92,1388,2020 Hammond Square Dr,Hammond,LA,-90.4611995,30.5043583
93,1395,646 N West End Blvd,Quakertown,PA,-75.36817,40.46084
94,1426,6670 Edwardsville Crossing Drive,Edwardsville,IL,-89.95327,38.784763
95,1436,10400 Owings Mills Blvd,Owings Mills,MD,-76.78031,39.42216
96,1478,6416 Carlisle Pike,Mechanicsburg,PA,-77.007545,40.247852
97,1482,18811 Bear Valley Rd,Apple Valley,CA,-117.25175,34.47018
98,1507,4429 Pecanland Mall Dr,Monroe,LA,-92.06699,32.49862
99,164,8682 Park Meadows Center Dr,Lone Tree,CO,-104.8744,39.557278
100,1663,99 Rockingham Park Blvd,Salem,NH,-71.225321,42.767305
101,1773,5299 Eldorado Pkwy,Frisco,TX,-96.83974,33.17477
102,1897,151 Highlands Blvd Dr,Manchester,MO,-90.507,38.594
103,1904,415 Parkway Plaza,El Cajon,CA,-116.967685,32.804749
104,1903,1105 Walnut Street,Cary,NC,-78.762892,35.771285
105,190,5065 Almaden Expy,San Jose,CA,-121.87753,37.25631
106,1928,194 Buckland Hills Drive,Manchester,CT,-72.545579,41.807238
107,1051,7001 Fayetteville Rd,Durham,NC,-78.934631,35.907135
108,1070,5591 Hwy 153,Hixson,TN,-85.250465,35.148224
109,1072,19503 Interstate 45,Spring,TX,-95.431725,30.050264
110,1092,3100 14th St Nw,Washington,DC,-77.034,38.929
111,1112,5311 S Calle Santa Cruz,Tucson,AZ,-110.98976,32.15375
112,1148,2220 Promenade Blvd,Rogers,AR,-94.18157,36.30581
113,1152,1 Galleria Dr,Cheektowaga,NY,-78.763435,42.914886
114,1156,3367 Daniels Rd,Winter Garden,FL,-81.586365,28.520824
115,1160,13238 Northwest Fwy,Houston,TX,-95.50827,29.852411
116,1178,33590 S Dixie Hwy,Florida City,FL,-80.47569,25.45232
117,1190,1760 Grass Valley Highway,Auburn,CA,-121.086269,38.928965
118,1267,430 Town Centre Dr,Johnstown,PA,-78.842452,40.276584
119,134,4820 Dublin Blvd,Dublin,CA,-121.88036,37.70369
120,13,1615 38th St S,Fargo,ND,-96.842743,46.857113
121,1397,19125 W. Lake Houston Pkwy,Humble,TX,-95.16158,29.99776
122,1402,763 W Grasslands Dr,American Fork,UT,-111.81945,40.383049
123,1416,104 W 104th Ave,Denver,CO,-104.9884,39.883564
124,1448,1880 Broadway,New York,NY,-73.982094,40.769882
125,145,701 Hebron Rd,Heath,OH,-82.436119,40.033432
126,1480,1281 Churchmans Rd,Newark,DE,-75.661179,39.691059
127,1520,5102 Avenue U,Brooklyn,NY,-73.9217,40.60988
128,1527,601 SE Wyoming Blvd,Casper,WY,-106.2662132,42.8437702
129,1530,4155 Millenia Blvd,Orlando,FL,-81.4287796,28.490483
130,1535,125 18th Street,Jersey City,NJ,-74.0406545,40.7344915
131,153,865 E Kemper Rd,Springdale,OH,-84.457413,39.285713
132,1545,8725 Memorial Blvd,Port Arthur,TX,-93.99523,29.94613
133,154,650 Eastgate South Dr,Cincinnati,OH,-84.275215,39.098297
134,1665,11401 N.W. 12 Street,Miami,FL,-80.377607,25.786696
135,1771,Upland Square Drive ,Pottstown,PA,-75.677409,40.2525952
136,1777,3262 W Belmont Ave,Chicago,IL,-87.71181,41.94017
137,1780,190 E Stacy Rd,Allen,TX,-96.65549,33.1267
138,1787,2700 S Service Rd,Moore,OK,-97.48714,35.31384
139,1800,1462 Higdon Ferry Rd,Hot Springs,AR,-93.07271,34.46667
140,1889,1168 Hwy 287,Waxahachie,TX,-96.84101,32.42337
141,1957,210 Andover Street,Peabody,MA,-70.944555,42.545261
142,1955,6170 Grand Avenue,Gurnee,IL,-87.956702,42.3839
143,201,125 NW Loop 410,San Antonio,TX,-98.493599,29.521643
144,1020,79220 Hwy 111,La Quinta,CA,-116.28111,33.709164
145,102,1800 Plaza Dr.,West Covina,CA,-117.92427,34.071552
146,1053,7000 Arundel Mills Circle,Hanover,MD,-76.725204,39.155998
147,1069,345 Rockaway Tpke,Lawrence,NY,-73.739922,40.626957
148,1081,3142 SE Military Dr,San Antonio,TX,-98.431946,29.350693
149,1080,715 W Prien Lake Rd,Lake Charles,LA,-93.225464,30.199205
150,1089,21085 Salmon Run Mall Loop W,Watertown,NY,-75.959389,43.97506
151,1113,2901 S Dogwood Rd,El Centro,CA,-115.52876,32.770676
152,1057,8645 Pulaski Hwy,Rosedale,MD,-76.483322,39.33239
153,1141,4210 14th St W,Bradenton,FL,-82.574356,27.463388
154,1137,4250 Route 9,Howell,NJ,-74.227783,40.147621
155,1145,9680 Mission Gorge Rd,Santee,CA,-116.98512,32.83952
156,1164,1015 Village Center Drive,Tarentum,PA,-79.838371,40.54586
157,1166,3200 Shoppers Dr,Mchenry,IL,-88.265358,42.361271
158,1165,1072 Willow Road,Northbrook,IL,-87.80494,42.10671
159,11,300 Northtown Dr Ne,Blaine,MN,-93.261429,45.126179
160,124,72369 Highway 111,Palm Desert,CA,-116.40418,33.726726
161,137,1501 N Victory Pl,Burbank,CA,-118.32756,34.189072
162,1400,2833 W Ridge Rd,Rochester,NY,-77.691307,43.209003
163,1407,208 Fortune Blvd,Milford,MA,-71.503601,42.1623
164,1412,3171 N George Bush Fwy,Garland,TX,-96.613983,32.945286
165,1415,16924 Twin Lakes Ave,Marysville,WA,-122.18894,48.146492
166,1451,5171 US Highway 70 W,Morehead City,NC,-76.808113,34.740192
167,1498,1131 5th Street,Miami Beach,FL,-80.14063,25.77424
168,1515,10136 Two Notch Rd,Columbia,SC,-80.88285,34.1172
169,155,1701 South 40 Drive,Greensboro,NC,-79.888687,36.05294
170,16,4100 University Ave,West Des Moines,IA,-93.760139,41.599323
171,1768,6006 E. Sam Houston Pkwy N,Houston,TX,-95.1640715,29.8145471
172,1784,3400 E Expressway 83,McAllen,TX,-98.25903,26.19618
173,1896,1250 El Camino Real,San Bruno,CA,-122.42018,37.63941
174,1914,2000 Coastal Grand Circle,Myrtle Beach,SC,-78.922405,33.700501
175,1950,4800 South Hulen Street,Fort Worth,TX,-97.399685,32.679303
176,1052,1145 Commons Cir,Plover,WI,-89.515335,44.522335
177,1094,10025 N Michigan Rd,Carmel,IN,-86.230759,39.934792
178,1096,1632 Stringtown Rd,Grove City,OH,-83.043732,39.879684
179,108,12133 Mall Blvd,Victorville,CA,-117.351461,34.471948
180,1104,2055 N Tomahawk Island Drive,Portland,OR,-122.68615,45.61493
181,1120,1987 Sam Rittenberg Blvd,Charleston,SC,-80.027075,32.795545
182,1118,230 Calle Federico Costa Hato Rey,San Juan,PR,-66.07188,18.42684
183,1134,3511 N Salida Ct,Aurora,CO,-104.77771,39.764637
184,1170,2600 Us Hwy 34,Oswego,IL,-88.32581,41.69234
185,1186,1810 Cumming Hwy,Canton,GA,-84.4603709,34.2379951
186,1193,400 Front Street,Collegeville,PA,-75.451571,40.1856597
187,1194,4210 Centerplace Dr,Greeley,CO,-104.7091322,40.4233142
188,1258,2200 S University Dr,Davie,FL,-80.251185,26.094541
189,1266,39 RHL Blvd,Charleston,WV,-81.71148,38.33651
190,1387,187 Creekside Way,New Braunfels,TX,-98.07806,29.72633
191,1401,9055 N 121st East Ave,Owasso,OK,-95.815704,36.325153
192,1423,181 Curtner Ave,San Jose,CA,-121.86525,37.301933
193,1425,2615 Medical Center Pkwy,Murfreesboro,TN,-86.448074,35.861378
194,1443,10985 Ulysses St Ne,Blaine,MN,-93.23568,45.169456
195,1457,3550 S General Bruce Dr,Temple,TX,-97.387077,31.09046
196,1456,1138 S Clearview Pkwy,New Orleans,LA,-90.185684,29.960909
197,1470,1834 Joe Battle Blvd,El Paso,TX,-106.2655,31.755423
198,1469,2510 Gulf Fwy S,League City,TX,-95.093292,29.47323
199,1488,398 Universal Dr N,North Haven,CT,-72.86852,41.35174
200,1534,259 Burgess Rd,Harrisonburg,VA,-78.849162,38.433507
201,162,7400 Brookpark Rd,Cleveland,OH,-81.736519,41.419174
202,1536,3000 East Highland Drive,Jonesboro,AR,-79.830226,40.4071615
203,1679,1178 Burnsville Center,Burnsville,MN,-93.288968,44.743838
204,172,2311 Gallatin Pike N,Madison,TN,-86.68396,36.305931
205,175,3054 E Franklin Blvd,Gastonia,NC,-81.122742,35.260777
206,177,5051 East Ray Rd,Phoenix,AZ,-111.97346,33.318554
207,181,8210 Agora Pkwy,Selma,TX,-98.328705,29.567665
208,1888,2455 Monarch Dr,Laredo,TX,-99.471161,27.6083367
209,1910,6020 East 82nd Street,Indianapolis,IN,-86.061677,39.907886
210,191,2005 Forest Ave,Chico,CA,-121.79893,39.726875
211,1932,7101 Democracy Blvd,Bethesda,MD,-77.148603,39.023301
212,1959,1201 Lake Woodlands Drive,Spring,TX,-95.453792,30.167429
213,1966,601 Donald Lynch Boulevard,Marlborough,MA,-71.615698,42.353245
214,1008,1621 E Monte Vista Ave,Vacaville,CA,-121.96328,38.367649
215,1017,4325 Sunset Dr,San Angelo,TX,-100.50107,31.435648
216,1019,390 Northridge Mall,Salinas,CA,-121.65946,36.715809
217,1026,95 Elm St,Enfield,CT,-72.583824,41.998211
218,1022,609 Potomac Station Dr NE,Leesburg,VA,-77.532104,39.098255
219,1034,3404 W 13th St,Grand Island,NE,-98.382164,40.933624
220,1056,1628 S Signal Butte Rd,Mesa,AZ,-111.60139,33.384254
221,1058,1148 Nw Norman Ave,Gresham,OR,-122.43715,45.505295
222,1077,2200 El Mercado Loop,Sierra Vista,AZ,-110.25728,31.529169
223,1098,2130 Route 70 W,Cherry Hill,NJ,-75.028412,39.935669
224,1125,2675 Geary Blvd,San Francisco,CA,-122.44702,37.782257
225,112,390 N Moorpark Rd,Thousand Oaks,CA,-118.87419,34.182625
226,1143,11855 N Oracle Rd,Oro Valley,AZ,-110.93728,32.42561
227,1167,770 Colemans Crossing Blvd,Marysville,OH,-83.34086,40.23074
228,1172,610 Exterior Street,Bronx,NY,-73.9310055,40.8172327
229,1180,19350 #B Nordhoff Way,Northridge,CA,-118.55508,34.23403
230,118,2300 N Rose Ave,Oxnard,CA,-119.15649,34.224163
231,122,2050 N Rainbow Blvd,Las Vegas,NV,-115.24034,36.196686
232,123,575 E Wetmore Rd,Tucson,AZ,-110.96164,32.287407
233,1383,1389 Wendy Court,Spring Hill,FL,-82.61861,28.47326
234,1403,4413 Birkland Place,Easton,PA,-75.2858,40.65766
235,1391,7090 Market Place Dr,Goleta,CA,-119.875481,34.425956
236,1460,3334 Princess Anne Rd,Virginia Beach,VA,-76.08811,36.77465
237,1486,5025 Jimmy Lee Smith Pkwy,Hiram,GA,-84.74411,33.889713
238,1499,7308 S Olympia Ave,Tulsa,OK,-96.00509,36.05953
239,1502,10760 Nw 17th St,Miami,FL,-80.36966,25.78848
240,1526,6300 E Highway 191,Odessa,TX,-102.314454,31.896518
241,1531,52 E 14th St,New York,NY,-73.9905737,40.7349109
242,159,5200 Campbell Blvd,Nottingham,MD,-76.454475,39.372471
243,160,5454 New Hope Commons Dr,Durham,NC,-79.000542,35.954647
244,165,2755 Germantown Pkwy,Memphis,TN,-89.792839,35.201088
245,1676,6301 NW Loop 410,San Antonio,TX,-98.620834,29.468969
246,1764,871 E Lancaster Ave,Downingtown,PA,-75.68684,40.01808
247,1769,2015 Birch Rd ,Chula Vista,CA,-116.96856,32.62447
248,1936,1 Garden State Plaza,Paramus,NJ,-74.073868,40.915751
249,1954,6121 W Park Blvd,Plano,TX,-96.833368,33.031383
250,1961,5135 W Alabama St,Houston,TX,-95.46322,29.740402
251,211,4100 E Mexico Ave,Denver,CO,-104.93787,39.685158
252,213,8210 S Gessner Dr,Houston,TX,-95.533008,29.68748
253,1014,155 Los Altos Pkwy,Sparks,NV,-119.7412,39.579536
254,1025,17200 Mercantile Blvd,Noblesville,IN,-85.990822,40.038788
255,1016,2407 Highway 93 N,Kalispell,MT,-114.33124,48.239506
256,1049,2703 Hwy 54,Peachtree City,GA,-84.597,33.397484
257,104,5000 W 147th St,Hawthorne,CA,-118.36559,33.897167
258,1061,101 General Stillwell Dr,Marina,CA,-121.81196,36.66708
259,1076,32937 Temecula Parkway 79,Temecula,CA,-117.081023,33.484079
260,1088,162 Santilli Hwy,Everett,MA,-71.06851,42.39917
261,110,3900 Tyler St,Riverside,CA,-117.46361,33.914719
262,1126,14 Allstate Rd,Dorchester,MA,-71.060478,42.327961
263,111,500 Westminster Mall Rd,Westminster,CA,-118.0133,33.750256
264,1124,585 24 1/2 Rd,Grand Junction,CO,-108.59233,39.08596
265,1131,3701 Mckinley Pkwy,Buffalo,NY,-78.812096,42.790466
266,1140,280 School St,Mansfield,MA,-71.22894,42.01262
267,1142,555 W Roosevelt Rd,Chicago,IL,-87.64116,41.86686
268,1171,6707 S Vine St,Centennial,CO,-104.96501,39.59486
269,1192,1070 N Port Washington Rd,Grafton,WI,-87.92074,43.32195
270,1385,45 Plaza PL,Waynesville,NC,-83.01149,35.46517
271,1404,24230 Commercial Dr,Rosenberg,TX,-95.756981,29.542709
272,144,31350 Courthouse Dr,Union City,CA,-122.06322,37.601608
273,1453,7980 Skyland Ridge Pkwy,Raleigh,NC,-78.783262,35.9146929
274,1454,8905 SW Cascade Ave,Beaverton,OR,-122.78477,45.452473
275,1517,5340 West Grand Parkway South,Richmond,TX,-95.7068975,29.6425663
276,1533,11160 Rancho Carmel Drive,San Diego,CA,-117.08441,32.9775
277,1658,250 Granite Street,Braintree,MA,-71.0228,42.2166
278,1900,4325 Glenwood Ave,Raleigh,NC,-78.675951,35.839319
279,1922,122 Hawthorn Center,Vernon Hills,IL,-87.946287,42.243053
280,1946,236 Lehigh Valley Mall,Whitehall,PA,-75.48306,40.630214
281,214,7318 Fm 1960 Rd W,Houston,TX,-95.538124,29.967516
282,1047,2411 S Kensington Dr,Appleton,WI,-88.359596,44.241451
283,1073,6020 Broadway St,Quincy,IL,-91.321,39.93423
284,107,3675 Pacific Coast Hwy,Torrance,CA,-118.3493,33.805847
285,1099,16630 Royalton Road,Strongsville,OH,-81.8160406,41.313093
286,10,1795 County Rd D E,Maplewood,MN,-93.025986,45.036556
287,1130,6810 Charlotte Pike,Nashville,TN,-86.89312,36.134159
288,1147,3600 County Trunk Hwy A,Kohler,WI,-87.764252,43.711769
289,1183,3967 State Route 31,Liverpool,NY,-76.2364,43.18766
290,1191,11840 71st St,Kenosha,WI,-87.95186,42.57202
291,1224,384 S. Wadsworth Blvd,Lakewood,CO,-105.08081,39.71035
292,1198,2375 N Tustin St,Orange,CA,-117.83397,33.82801
293,128,5575 S Virginia St,Reno,NV,-119.78868,39.475178
294,1405,5947 Wesley Grove Blvd,Wesley Chapel,FL,-82.353157,28.240932
